0
AFOOTandlighthear D
北京市 xx-xx xx:xx -> 07-20 14:25 0 35380
山东省枣庄市 07-20 16:06 -> 07-20 16:14 283 35380
内蒙海拉尔市 07-20 17:53 -> 07-20 18:03 545 35380
天津市 07-20 20:37 -> 07-20 20:42 981 35380
贵州省仁怀市 07-20 21:19 -> 07-20 21:28 990 35380
江苏省昆山市 07-20 22:15 -> 07-20 22:18 1474 35380
吉林省长春市 07-21 01:46 -> 07-21 01:49 1909 35380
四川省江油市 07-21 02:18 -> 07-21 02:22 2091 35380
黑龙江省双城市 07-21 05:35 -> 07-21 05:45 2550 35380
广东省新会市 07-21 06:46 -> 07-21 06:54 2834 35380
内蒙包头市 07-21 09:05 -> 07-21 09:14 3105 35380
湖南省涟源市 07-21 09:34 -> 07-21 09:41 3599 35380
湖北省天门市 07-21 12:39 -> 07-21 12:47 3659 35380
江苏省扬中市 07-21 15:38 -> xx-xx xx:xx 3708 x
